NAME,ClusterOrigin,EntrezGeneID,Aliases,Origin,Functions
ABCA1,Cluster#1,19,"[ABC-1, ABC1, CERP, HDLDT1, TGD]",Initial Gene From Selection,interleukin-1 beta secretion | cytokine secretion
ABI1,Cluster#1,10006,"[ABI-1, ABLBP4, E3B1, NAP1BP, RP13-16H11.4, SSH3BP, SSH3BP1]",Initial Gene From Selection,peptidyl-tyrosine phosphorylation | peptidyl-tyrosine modification | cellular component movement
